label	definition	caption
Fireworks	Explosive displays of light and sound, marked by bright flashes, loud bangs, and crackling noises, typically observed during celebrations or festivals in urban or rural settings.	
Chewing_and_mastication	The rhythmic, audible sounds created by the movement of teeth and tongue during the process of chewing and digesting food, commonly heard in kitchens, dining rooms, or outdoor settings.	
bus/compressor	A rhythmic, humming sound produced by the engine of a bus or compressor, often heard in urban environments or industrial areas.	
Car_passing_by	The distinct, metallic clanging sound produced by the wheels of a car as it passes by, typically heard on busy streets or highways.	
Howl (wind)	A mournful, sustained wail produced by wind blowing through a narrow opening or channel, often heard in open spaces or near tall structures.	
Crack	A sharp, short sound produced by the breaking of a surface or object, often heard in various settings such as construction sites, fireworks displays, or gunfire.	
person-or-small-group-talking	The collective vocalizations produced by people engaged in conversation or discussion, characterized by variations in pitch, volume, and rhythm, often heard in social settings like cafes, offices, or parks.	
truck/engine_idling	The steady, low-frequency hum or vibration generated by a truck or vehicle's engine when it is running at a low speed or idling, often heard in urban or industrial environments.	
Doorbell	A metallic, ringing sound produced by a doorbell, typically heard at the entrance of a house or building, signaling someone's arrival.	
toilet_flush	The sound of water swirling and draining from a toilet bowl, often accompanied by a hissing or gurgling noise, typically heard in bathrooms.	
Blender	The loud, whirring sound produced by a blender, often heard in kitchens or food preparation areas, signaling the blending of ingredients.	
Outside, rural or natural	The ambient sounds of nature, such as rustling leaves, chirping birds, and flowing water, typically heard in rural or natural environments.	
Glass breaking	The sharp, cracking sound produced when glass is shattered or broken, often accompanied by the sound of shattering glass and debris moving. Typically heard in urban or industrial settings, such as construction sites or glass factories.	
Traffic_noise_and_roadway_noise	The complex mixture of sounds produced by vehicles, pedestrians, and road infrastructure, characterized by a variety of frequencies, rhythms, and intensities, typically heard in urban or suburban areas with heavy traffic.	
Silence	The absence of audible sound, often described as a state of quiet or stillness, typically experienced in secluded or peaceful environments, such as forests, mountains, or caves.	
Crushing	The loud, sharp, and intense sound generated by the impact of heavy objects or machinery on hard surfaces, often associated with construction, mining, or industrial activities, characterized by a high-pitched, metallic resonance.	
Boat_and_Water_vehicle	A watercraft designed for transportation or recreation on water, characterized by its buoyancy, hull, and propulsion system. Often heard splashing through water, with the sound of the engine or sails.	
truck/engine_accelerating	The rapid increase in speed of a truck or engine, accompanied by a distinct rumbling or roaring sound. Typically heard in urban or industrial areas, near highways or construction sites.	
Train	A public or freight transportation system consisting of connected, rail-guided vehicles designed to transport passengers or goods over long distances. Characterized by its rhythmic, metallic clacking sound and the occasional hiss of brakes or whistle.	
Subway_and_metro_and_underground	The rhythmic clanging of metal on metal, accompanied by the distant rumble of trains and the occasional screeching of brakes, heard in subway, metro, and underground train systems.	
Electric train	The steady, rhythmic hum of an electric train, punctuated by the occasional clanging of metal on metal and the distant rumble of other trains, heard in train stations and on train tracks.	
Piano	A musical instrument consisting of a wooden frame with rows of strings, played by striking keys with the fingers. Produces a rich, resonant sound, often used in classical, jazz, or pop music. Typically heard in music studios, concert halls, or living rooms.	
Wildfire	A natural disaster characterized by intense heat, flames, and smoke, often heard as a crackling, sizzling, or hissing sound, accompanied by popping and crackling noises. Typically occurs in dry, arid regions with dense vegetation, such as forests or grasslands.	
door_wood_creaks	The audible sound produced when a wooden door is opened or closed, characterized by a sharp, crackling, or creaking noise. Often heard in residential or commercial settings, especially when the door is old or poorly maintained.	
washing_machine	The rhythmic, humming sound generated by a washing machine during its operation, typically heard in laundry rooms or kitchens. The sound varies depending on the cycle and load size, often described as a low, steady hum or a rhythmic thumping.	
Buzz	A low-pitched, humming sound produced by insects, often heard in gardens or forests, especially during summer months.	
Race_car_and_auto_racing	The roar and screech of tires on asphalt during high-speed racing, typically heard in enclosed arenas or open tracks.	
children_voices	The laughter, chatter, and singing of children, characterized by high-pitched, joyful tones, often heard in playgrounds, schools, or family gatherings.	
Chink_and_clink	The metallic sound of two hard objects striking each other, often heard in kitchens or workshops when cutting or shaping metal.	
Ringtone	A melodic or rhythmic electronic sound used to signal an incoming call, message, or notification on a mobile device.	
Chop	The sharp, percussive sound produced by cutting through food or other materials with a knife or other sharp object, typically heard in kitchens or food preparation areas.	
Ratchet_and_pawl	A mechanical device consisting of a ratchet and pawl, used to control the motion of a small/medium rotating saw, characterized by a distinct metallic clicking sound.	
Small/medium rotating saw	A handheld or portable saw designed for cutting wood or other materials, characterized by its small or medium size and rotating blade, producing a distinct whirring or buzzing sound during operation.	
Bowed_string_instrument	A musical instrument played by plucking or bowing strings, producing a rich, resonant sound. Often associated with classical music and orchestras.	
Water	A transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's streams, lakes, and oceans. Characterized by its unique properties such as buoyancy, cohesion, and adhesion.	
airplane	A powered, fixed-wing aircraft designed for transportation. Produces a distinctive roaring sound during takeoff and landing, and a steady hum while in flight.	
Drawer open or close	The sound of a drawer opening or closing, characterized by a metallic clang or a soft thud, depending on the type of drawer and its contents. Typically heard in kitchens, bathrooms, or offices, when someone is accessing items stored in a drawer.	
Whistling	A high-pitched, melodic sound produced by blowing air through the teeth or lips, often used for communication or as a musical instrument. Context: Typically heard in social gatherings, concerts, or as a signal for attention or warning.	
Respiratory sounds	Sounds produced by the movement of air in and out of the lungs, characterized by rhythmic patterns and varying intensity. Typically heard during breathing exercises, coughing, or sneezing.	
Cash register	The metallic clinking or ringing sound produced by the movement of coins or paper money through a cash register. Often heard in retail stores, restaurants, or other establishments that handle transactions.	
Percussive sounds, e.g. crash, bang, knock, footsteps	Sounds created by the impact of objects or bodies against a surface, characterized by sharp, short bursts of sound. Typically heard during activities involving physical contact, such as hammering, carpentry, or walking on hard surfaces.	
medium-sounding-engine	A medium-pitched, rhythmic sound produced by a vehicle engine, typically heard in urban or suburban areas during rush hour or while driving on highways.	
Brass_instrument	A musical instrument made primarily of brass, characterized by its bright, resonant sound and the ability to produce a wide range of notes through the use of a player's lips and mouth. Often associated with orchestras, jazz bands, and brass ensembles.	
metro approaching	The gradual, rumbling sound of a train approaching a station, accompanied by the clanging of tracks and the distant rumble of the train's engine. Typically heard in urban environments near train stations or subway systems.	
speech	Human vocalizations characterized by rhythmic patterns of sound, often used for communication, expression, or entertainment. Typically heard in social settings, such as conversations, lectures, or performances.	
Chuckle_and_chortle	Light, short bursts of laughter marked by a combination of chuckling and chortling sounds, often used to express amusement or delight. Typically heard in informal settings, such as social gatherings or casual conversations.	
other-unknown-alert-signal	An alert sound produced by an unknown device or system, typically characterized by a high-pitched, pulsating tone, often used to signal an impending issue or malfunction.	
Fowl	The vocalizations produced by birds, characterized by a wide range of pitches, tones, and rhythms, often heard in natural environments like forests, parks, or gardens, especially during early morning or dusk.	
vacuum_cleaner	The distinctive, rhythmic sound generated by a vacuum cleaner as it moves across a surface, often accompanied by a low hum or buzz, commonly heard in homes, offices, or other indoor spaces.	
Alert signal	A loud, high-pitched sound used to signal danger or warning, often heard in public spaces or emergency situations.	
Child speech	The unique vocalizations produced by children, characterized by their high-pitched voices, simple sentence structures, and emotional expressions.	
Burping_and_eructation	The sound produced when food is expelled from the mouth through belching or vomiting, typically heard in social settings or during meals.	
glassbreak	The sharp, cracking sound produced when glass is shattered or broken, often heard in homes, bars, or restaurants.	
Dishes, pots, and pans	The clanging, clattering, and ringing sounds produced by dishes, pots, and pans when they are struck or scraped against each other, typically heard in kitchens or dining areas.	
Toothbrush	The soft, bristly sound produced when a toothbrush is used to clean teeth, typically heard in bathrooms or dental offices.	
Air horn, truck horn	A loud, high-pitched sound produced by a compressed-air horn, commonly used to signal danger, warning, or attention. Often heard in urban or industrial environments, near construction sites, or on busy roads.	
Pour	The sound of liquid flowing out of a container, characterized by a continuous, rhythmic splashing or gurgling noise. Typically heard in kitchens, bars, or other settings where liquids are being poured or served.	
brushing_teeth	The sound of bristles scraping against teeth and gums during toothbrushing, accompanied by the occasional popping or crackling noise. Typically heard in bathrooms or kitchens, during morning or evening routines.	
Pile driver	A heavy, rhythmic pounding sound produced by a construction tool used to drive piles into the ground, typically heard in construction sites or near heavy machinery.	
Gong	A resonant, metallic sound produced by striking a large, flat object, often used for ceremonial or warning purposes, typically heard in religious or official settings.	
Respiratory_sounds	A variety of sounds produced by the respiratory system, including coughing, sneezing, and breathing sounds, typically heard in medical or healthcare settings.	
fireworks	A series of bright, colorful explosions accompanied by loud, sharp noises, often seen and heard during celebrations or festivals.	
Female_speech_and_woman_speaking	The unique vocalizations produced by women, characterized by variations in pitch, tone, and rhythm, often heard in social settings or conversations.	
Meow	The soft, melodic vocalization produced by cats, typically used for communication, expressing contentment, or seeking attention, often heard in homes or outdoors.	
jackhammer	A loud, rhythmic pounding sound produced by a jackhammer, typically heard in construction sites or other areas where heavy-duty demolition or excavation is taking place.	
hoe-ram	A powerful, percussive sound generated by a hoe-ram, used for breaking up hard ground or rock. Often heard in mining or construction sites.	
Laughter	A joyful, contagious sound characterized by bursts of high-pitched vocalizations, commonly associated with humor and social gatherings.	
Sawing	The rhythmic, metallic sound produced by the movement of a saw blade through wood or other materials, typically heard in construction sites, workshops, or woodworking areas.	
Crowd	A large group of people gathered together, characterized by their collective noise and movement, often heard in public spaces like stadiums, concerts, or festivals.	
non-machinery-impact	The sound of a non-machinery object hitting another object, characterized by its softness and lack of sharp edges. Often heard in natural environments like forests, parks, or gardens, especially during early morning or dusk.	
television	The electronic sound produced by a television set, characterized by its high-pitched whine and occasional crackling. Often heard in living rooms, home theaters, or public spaces with television screens.	
Water_tap_and_faucet	The sound of water flowing through a tap or faucet, characterized by its steady rhythm and gentle hiss. Often heard in kitchens, bathrooms, or other areas with water sources.	
Rattle_(instrument)	A percussive sound produced by the vibration of metal parts, often heard in traditional instruments like tambourines or maracas.	
Medium engine	A steady, rhythmic sound generated by the combustion of fuel in a medium-sized vehicle's engine, typically heard on highways or city streets.	
Plucked string instrument	A musical instrument that produces sound by plucking strings, characterized by a sharp, twangy tone, often associated with instruments like the guitar or harp.	
Organ	A musical instrument with a keyboard and pipes, producing a rich, resonant sound, often heard in concert halls, churches, or theaters.	
Cutlery_and_silverware	The clinking and scraping sounds produced by cutlery and silverware during meals, characterized by variations in rhythm, intensity, and pattern, typically heard in dining rooms or kitchens.	
pouring_water	The sound of liquid flowing from a container into another, characterized by a continuous, rhythmic splashing or gurgling, often heard in kitchens, bathrooms, or outdoor settings.	
Snare drum	A percussion instrument characterized by a sharp, cracking sound, often used in drumming and orchestral music. Typically played with a stick or mallet, it produces a high-pitched, staccato rhythm.	
Brake	A mechanical device used to slow down or stop motion, commonly found on vehicles or machinery. When applied, it produces a distinct screeching or grinding sound, indicating the activation of the braking system.	
Coin_(dropping)	The sound produced when a coin falls or lands on a hard surface, characterized by a metallic clang or chime. Often heard in coin-operated machines, vending machines, or when coins are dropped into a collection container.	
children shouting	Loud, high-pitched vocalizations produced by children, characterized by rapid, rhythmic bursts of sound, often heard in playgrounds, parks, or other open spaces.	
Livestock, farm animals, working animals	A diverse range of animal sounds produced by farm animals, such as cows, pigs, and sheep, characterized by distinct pitches, rhythms, and patterns, often heard in agricultural settings.	
crackling_fire	The crisp, popping sound generated by burning wood or other combustible materials, typically heard in fireplaces, campfires, or outdoor cooking areas, often accompanied by a warm, comforting ambiance.	
motorcycle/brakes	The screeching sound produced by motorcycle brakes when the driver applies pressure, often heard in urban or suburban areas near roads or highways.	
Hair dryer	The high-pitched, whirring sound generated by a hair dryer when it is in use, typically heard in bathrooms or hair salons.	
air_conditioner	The low hum or buzz produced by an air conditioner when it is running, often heard in residential or commercial buildings during hot weather.	
engine	A mechanical device used to power vehicles, characterized by its rhythmic, humming sound, often heard in urban or industrial settings.	
ice-cream-truck	A mobile food truck selling ice cream, characterized by its distinctive jingle and the sound of churning ice cream, often heard in neighborhoods during summer months.	
traffic_noise	The cacophony of sounds produced by vehicles, pedestrians, and other urban activities, characterized by its constant, overlapping patterns, often heard in busy city streets.	
mobile-music	A mix of popular and contemporary music played on mobile devices, characterized by its variety, rhythm, and volume, often heard in public spaces or personal environments.	
Siren	An alarm device that produces a loud, oscillating wail or whistle sound, used to signal danger, warning, or alert. The sound produced is characterized by its high pitch, rapid oscillations, and distinct pattern, often heard in emergency situations.	
bus/brakes	The screeching or grinding sound produced by the braking system of a bus, indicating the vehicle is stopping or slowing down, commonly heard on busy city streets or highways.	
coughing	A dry, hacking sound produced by the respiratory system, often accompanied by a clearing of the throat. Typically heard in indoor environments like homes, offices, or hospitals, especially during cold or flu season.	
door opens/closes	The sound of a door opening or closing, characterized by a creaking or squeaking noise. Often heard in residential or commercial settings, such as homes, offices, or public spaces.	
Powered saw	The high-pitched, whirring sound produced by a powered saw, indicating its operation. Typically heard in construction sites, workshops, or woodworking studios, where saws are used for cutting materials.	
Electric_guitar	A stringed musical instrument with an amplified sound, characterized by its sharp, twangy tones and distinctive rhythmic patterns, often heard in rock, pop, and blues music.	
Police car (siren)	A high-pitched, wailing sound produced by a police car's siren, used to alert drivers of the vehicle's presence and signal emergency situations, typically heard in urban areas.	
(object) snapping	A sharp, crackling sound produced by the rapid expansion of air when an object is released or broken, often heard in various settings like door openings, car engines, or fireworks.	
Large engine	A powerful, rhythmic sound produced by a large internal combustion engine, typically heard in vehicles or industrial settings.	
Glass chink, clink	The sharp, metallic sound created when two pieces of glass collide or when a glass object is struck against a hard surface, often heard in bars, restaurants, or kitchens.	
Dog	A domesticated mammal known for its bark, a loud, resonant vocalization often used for communication, warning, or play. The bark can vary in pitch, volume, and rhythm depending on the dog breed and individual.	
children_playing	Lively, joyful vocalizations and sounds produced by children during play, characterized by high-pitched laughter, shouts, and clapping. Often heard in parks, playgrounds, or backyards, where children engage in various activities like tag, ball games, or hopscotch.	
Male speech, man speaking	Distinctive vocalizations produced by adult males, characterized by variations in pitch, tone, and rhythm. Often heard in conversations, speeches, or announcements, where men communicate ideas, emotions, or information.	
alarm	Sharp, high-pitched sound generated by an electronic device or system, signaling an imminent danger, warning, or alert. Typically heard in residential or commercial settings, where alarms are installed to protect against intruders, fires, or other hazards.	
Fixed-wing_aircraft_and_airplane	A type of aircraft with a rigid wing structure, capable of sustained flight through the generation of lift by air pressure on the upper surface of the wing. Typically encountered in airports, airfields, or during air travel.	
Friction brake	A mechanical device used to slow down or stop the motion of an object by creating friction between the brake pads and the brake rotor. Typically encountered in vehicles, bicycles, or other means of transportation, producing a grinding or squeaking sound when applied.	
car	A mechanical vehicle designed for transportation, characterized by its engine noise, tire screeching, and other sounds produced during movement.	
Television	An electronic device used for broadcasting and receiving moving images and sound, often associated with background hum or static noise.	
Speech_synthesizer	An artificial intelligence system capable of converting text into spoken words, producing a synthetic voice with distinct intonation and rhythm.	
Crow	A bird known for its distinctive cawing sound, characterized by its deep, resonant tones. Often heard in rural or urban areas, especially at dawn or dusk, and associated with scavenging or predatorial behavior.	
Marimba, xylophone	A percussion instrument consisting of a set of wooden bars struck with mallets, producing a bright, resonant sound, commonly used in orchestras or traditional music ensembles.	
Electric guitar	A stringed musical instrument that produces a rich, twangy sound when an electric current is passed through its strings, often used in rock, blues, or jazz music.	
Percussion	A rhythmic, sharp, and resonant sound produced by striking or shaking an object, often used in music or other forms of art. Context: Typically heard in music studios, concert halls, or during cultural events.	
Ratchet, pawl	A metallic sound characterized by a sharp, clicking, and rhythmic sequence, often associated with mechanical devices like clocks or watches. Context: Typically heard in clock towers, watch shops, or industrial settings.	
Walk_and_footsteps	A sequence of rhythmic sounds created by the impact of feet on a surface during walking or running, characterized by variations in speed, intensity, and pattern. Context: Typically heard in urban environments, parks, or nature trails.	
Insect chirping	A series of high-pitched, rhythmic sounds produced by insects, often heard in natural environments like forests, parks, or gardens, especially during early morning or dusk.	
Motorcycle	A two-wheeled vehicle powered by an internal combustion engine, characterized by its distinctive roar and vibration. Often heard on roads, highways, or in urban areas.	
other-unknown-human-voice	An unfamiliar human voice, characterized by its unique pitch, tone, and rhythm, often heard in public spaces or during conversations between strangers.	
large-crowd	A multitude of people gathered together, producing a collective sound characterized by overlapping voices, chatter, and laughter, often heard in events, concerts, or markets.	
Screeching	A high-pitched, piercing sound produced by metal on metal or rubber on asphalt, often heard during braking or sudden stops, typically associated with vehicles or machinery.	
Electric_shaver_toothbrush	A handheld device that produces a high-pitched, vibrating sound while cleaning teeth or shaving facial hair. Often used in bathrooms or kitchens.	
Frying (food)	The distinct sizzling and popping sound emitted when food is being cooked in hot oil or on a heated surface. Typically heard in kitchens or cooking areas, signaling the process of frying.	
brakes_squeaking	The sharp, metallic sound produced when brake pads rub against the brake rotor. Often heard when braking or slowing down, especially on gravel or wet roads.	
Scissors	A cutting tool with two sharp blades that move in opposite directions when opened and closed, typically used for cutting paper, fabric, or other materials. The sound of scissors cutting is characterized by a sharp, metallic snip or clip.	
Drip	A slow, steady dripping sound produced by water or other liquids falling from a height or source. Often heard in bathrooms, kitchens, or other areas with water fixtures, such as faucets or leaks.	
Gurgling	The bubbling or gushing sound generated by liquid flowing through a restricted area, akin to water coursing through narrow passages or the rumbling of the stomach during digestion. Commonly heard in streams, plumbing systems, or processes involving liquids.	
keyboard_typing	The rhythmic, repetitive clicking sound produced by keys on a computer keyboard, often heard in home offices, libraries, or study areas.	
rain	The continuous, soft patter of raindrops striking various surfaces, such as roofs, windows, or leaves, often heard during rainfall in urban or rural areas.	
Plastic crinkling	The crisp, sharp sound generated by the movement or deformation of plastic materials, commonly heard when packaging, bags, or containers are opened or manipulated.	
small-medium-rotating-saw	A mechanical cutting tool with a small to medium blade that rotates rapidly to cut through materials. Often heard in construction sites, workshops, or woodworking areas.	
insects	Small, air-breathing animals with six legs and a body divided into three segments. Characterized by their distinctive buzzing or chirping sounds, often heard in natural environments like forests, gardens, or grasslands.	
water_drops	The sound of water falling or splashing on a surface, typically produced by rain, waterfalls, or fountains. Often heard in outdoor settings like parks, gardens, or beaches, where water is present.	
Baby cry, infant cry	A high-pitched, emotional vocalization produced by infants, characterized by rapid, irregular breathing and varying intensity, often heard in homes, hospitals, or daycare centers.	
Door, open or close	The sound of a door opening or closing, distinguished by its hinges creaking, a latch clicking, or a door slamming, typically heard in homes, offices, or public spaces.	
Splash, splatter	The sound of liquid impacting a hard surface, characterized by short, sharp bursts of sound, often heard in kitchens, bathrooms, or outdoor settings, resulting from activities like cooking, cleaning, or washing.	
cash register beeping	A short, high-pitched sound produced by a cash register, typically indicating a transaction has been completed or an error has occurred. Often heard in retail environments, such as stores or supermarkets.	
Hammer	A percussive tool with a flat, weighted head used for driving nails or breaking objects. Characterized by a sharp, metallic sound when striking a surface. Often heard in construction sites, workshops, or DIY projects.	
Zipper_(clothing)	A fastening device used to close or open garments, characterized by a sliding or snapping sound when engaged or disengaged. Typically found on jackets, pants, and other clothing items. Often heard in dressing rooms, closets, or laundry settings.	
drilling	A rhythmic, high-pitched sound produced by a drill bit striking a hard surface, typically heard in construction sites or workshops.	
motorbike	The roar and rumble of a motorbike engine, characterized by its steady, pulsating sound, often heard on busy roads or in urban environments.	
Liquid	The sound of liquid flowing or splashing, typically heard in kitchens, bathrooms, or industrial settings involving the movement of fluids.	
Running_water	The continuous, rhythmic sound of water flowing over rocks or stones in a stream or river, often characterized by a steady, soothing melody.	
clapping	The sharp, rhythmic sound produced by clapping hands together, often heard in applause or celebration.	
large-rotating-saw	The loud, continuous roar generated by a large rotating saw, typically heard in construction sites or workshops.	
Trickle_and_dribble	The soft, intermittent sound of water flowing over rocks or through small openings, characterized by its trickling and dribbling patterns, often heard in streams or waterfalls.	
microwave	A high-frequency electromagnetic radiation used for heating or cooking food, characterized by its rapid oscillations and short wavelengths. Typically encountered in kitchens or dining areas, emanating from a microwave oven.	
female scream	A loud, piercing vocalization produced by a female, often associated with sudden shock, fear, or anger. Typically heard in situations where a person is in distress or danger, such as a horror movie or a real-life emergency.	
children voices	The collective sounds produced by children, characterized by their unique vocalizations, laughter, and playful chatter. Typically heard in environments where children are present, such as schools, parks, or playgrounds.	
truck	A large vehicle with a flatbed, typically used for transporting goods. The sound of a truck's engine and brakes can be heard from a distance, often accompanied by the rumble of the wheels on the road.	
Child speech, kid speaking	The unique vocalizations produced by children, characterized by their high-pitched voices, simple sentence structures, and emotional expressions. Often heard in family settings, schools, or playgrounds.	
Cowbell	A metal instrument played by striking it with a mallet or hand, producing a sharp, ringing sound. Commonly used in music, especially in folk and country genres, and in rodeos or other equestrian events.	
Vehicle horn, car horn, honking	A loud, high-pitched sound produced by a vehicle's horn, typically used to signal danger, warning, or attention. Often heard in urban or suburban areas near roads, highways, or parking lots.	
Vehicle	A powered, motorized vehicle designed for transportation, such as a car, truck, bus, or motorcycle. Typically equipped with an engine, wheels, and a steering system.	
Human movement	The act of moving or traveling from one location to another, often involving the use of a vehicle. Characterized by the rhythmic impact of feet on a surface during walking or running.	
gun_shot	A sharp, explosive sound produced by the discharge of a firearm, characterized by a short duration and high intensity, often heard in urban or rural environments where firearms are used.	
Snap	A crisp, sharp sound produced by the breaking of a thin object, such as a twig or a piece of paper, often heard in natural or urban environments where such objects are present.	
Wind	A soft, rustling sound created by the movement of air through leaves, grass, or other objects, often heard outdoors in natural environments.	
Breathing	The rhythmic inhalation and exhalation of air through the nose or mouth, producing a soft, continuous sound. Typically heard during conversations, singing, or meditation, and varies in speed and depth depending on the individual.	
Accordion	A musical instrument that produces sound by the movement of bellows, characterized by its distinctive, reedy tone. Often heard in folk music, festivals, or parades.	
engine-of-uncertain-size	A complex mechanical device with multiple moving parts, producing a rhythmic, pulsating sound characterized by varying intensity and pitch, often heard in vehicles or industrial settings.	
Toilet_flush	The sound of water rushing out of a toilet bowl, typically accompanied by a hissing or gurgling noise, often heard in bathrooms or residential settings.	
sheep	The distinct, melodic vocalizations produced by sheep, characterized by their soft, resonant tones and rhythmic patterns, often heard in pastoral or rural environments.	
cat meowing	A rhythmic, soft vocalization produced by cats, characterized by a distinctive pitch and cadence, often heard indoors or outdoors in various settings, such as homes, gardens, or parks.	
Bird_vocalization_and_bird_call_and_bird_song	A complex, melodic vocalization produced by birds, consisting of various elements like calls, songs, and alarms, distinguished by unique patterns, pitches, and rhythms, typically heard in natural environments like forests, parks, or gardens, especially during early morning or dusk.	
car passing by	The sound of a car engine and tires rolling on the road, characterized by a steady hum and vibration, often heard in urban or suburban areas, near highways or busy streets.	
Human group actions	A collection of synchronized or coordinated movements and vocalizations produced by a group of people, often involving rhythmic patterns and social interaction, typically heard in public spaces like parks, sports fields, or concert venues.	
Speech	Human vocalizations characterized by rhythmic patterns of sound, often used for communication, expression, or entertainment. Typically heard in social settings, such as conversations, lectures, or performances.	
Baby laughter	The joyful, high-pitched vocalizations produced by infants, characterized by short bursts of sound and variations in pitch and intensity. Often heard in intimate settings, such as homes or daycare centers, during playtime or interaction with caregivers.	
small-sounding-engine	A faint, rhythmic sound produced by a small internal combustion engine, often heard in urban areas or during transportation.	
water tap running	The steady, rhythmic sound of water flowing through a tap, typically heard in kitchens or bathrooms.	
Thunderstorm	The loud, explosive sound generated by lightning strikes during a thunderstorm, characterized by its sudden onset, rumbling intensity, and occasional crackling or booming noises.	
Human_voice	A complex, variable vocalization produced by humans, characterized by pitch, tone, and rhythm, often used for communication, expression, or entertainment.	
Musical_instrument	A device used to create music, characterized by its unique sound and played by striking, plucking, or blowing.	
Broadband noise, e.g. household appliances	A type of noise with a wide frequency spectrum, often produced by common household appliances like washing machines, dryers, or dishwashers, characterized by a humming or buzzing sound.	
Domestic sounds	Sounds typically heard within a household or residential setting, such as footsteps, voices, or appliances in use, often associated with daily activities and routines.	
car/engine_accelerating	The sound of a car's engine revving up, characterized by a rhythmic, high-pitched noise. Typically heard in urban or suburban environments, near roads or highways.	
Mechanical_fan	The steady, humming sound produced by a mechanical fan, often associated with air conditioning or ventilation systems. Typically heard in enclosed spaces like homes, offices, or industrial settings.	
Vehicle_horn_and_car_horn_and_honking	The loud, repetitive sound produced by a car horn, often used to signal danger, warning, or excitement. Typically heard in urban or suburban environments, near roads or highways.	
reverse-beeper	A high-pitched, rhythmic sound produced by a reversing beeper, often heard in urban or manmade environments, typically used to signal the direction of traffic or construction vehicles.	
Glockenspiel	A percussion instrument consisting of metal bars struck with mallets, producing a bright, metallic sound. Often associated with orchestral music or children's toys, typically heard in concert halls or playgrounds.	
Non-machinery impact	A sharp, metallic sound produced by the collision of two hard objects without machinery involved, often heard in construction sites or industrial areas.	
Female_singing	A melodic vocalization produced by a female, characterized by unique vocal qualities and often associated with emotional expression, typically heard in music venues or private gatherings.	
Aircraft engine	A powerful, rhythmic sound generated by the combustion of fuel in an aircraft engine, often heard in airports or during flights, signifying the aircraft's presence and operation.	
train	A metallic, rhythmic sound produced by the wheels of a train moving on tracks, often accompanied by braking and whistle sounds. Typically heard in urban or suburban areas near train stations or tracks.	
Gears	A mechanical, grinding sound produced by the interaction of teeth on a rotating shaft, often heard in industrial settings or machinery. Can also be associated with the movement of vehicles or equipment.	
Keys jangling	A metallic, jingling sound produced by the movement of keys on a lock or keyring, often heard in residential or commercial settings. Can also be associated with the opening or closing of doors or drawers.	
Drill	A rhythmic, high-pitched sound produced by a rotating tool with a sharp cutting edge, typically used for boring holes or shaping materials. Often heard in construction sites, workshops, or woodworking areas.	
Chatter	The lively, informal conversations between two or more people, characterized by rapid exchanges of words, punctuated by laughter and other vocal expressions, often heard in social settings.	
Waves_and_surf	The continuous, rhythmic crashing of waves against the shore, accompanied by the sound of water splashing and frothing. Often encountered in coastal areas, beaches, or surfing spots.	
Mallet percussion	A rhythmic, metallic sound produced by striking a mallet against a hard surface, often heard in orchestras or percussion ensembles.	
Civil defense siren	A loud, oscillating wail used to alert people of impending danger, typically heard during emergency situations like tornadoes or hurricanes.	
