label	definition
Trickle_and_dribble	The sound of water flowing slowly and continuously, often characterized by its softness and rhythmic pattern, belonging to the category of natural environmental sounds.
Acoustic_guitar	The stringed musical instrument played by plucking or strumming its strings, producing a rich, resonant sound, categorized under musical instruments.
Male speech, man speaking	The vocalizations produced by a male human, characterized by distinct pitch, rhythm, and intonation, often used for communication or expression.
Pop music	A genre of music characterized by its catchy melodies, upbeat tempo, and use of electronic instruments, often associated with youth culture and popular culture.
washing_machine	The sound produced by a washing machine while it is in operation, characterized by a rhythmic, cyclical pattern of noise and vibration, often associated with household appliances and laundry-related tasks.
dog_bark	The loud, sharp vocalizations produced by dogs, often characterized by their pitch, rhythm, and intensity, belonging to the category of animal vocalizations.
Rattle_(instrument)	The metallic, shaking sound produced by an instrument, typically characterized by its intensity and frequency, classified under musical instruments.
alarm	The loud, piercing sound produced by an alarm system, often used to signal danger or an emergency, categorized under warning or alert sounds.
Race_car_and_auto_racing	The roaring and screeching sounds produced by high-performance cars during racing, characterized by their speed and intensity, belonging to the category of human activities or sports sounds.
bus/compressor	The humming and hissing sounds produced by the engine and compressor of a bus, categorized as transportation-related sounds.
Rail transport	The rumbling and clanking sounds produced by trains moving on rails, characterized by their speed and intensity, classified under transportation-related sounds.
furniture dragging	The sound of furniture being dragged across a surface, characterized by its friction and movement.
Alarm clock	The electronic sound produced by an alarm clock, typically a high-pitched, monotonous tone.
Dog	The barking sound produced by dogs, characterized by its loud, sharp, and varied tones, often used as a communication or warning sound.
Broadband noise, e.g. household appliances	A continuous, low-frequency sound produced by various household appliances, such as washing machines, dryers, and dishwashers, classified under man-made sounds.
Video game/TV	The sound produced by video games or TV shows, characterized by its dynamic range, sound effects, and music, classified under entertainment sounds.
other-unknown-impact-machinery	A sound produced by an unknown impact-based machinery, characterized by its intensity and rhythm, classified under industrial sounds.
Church bell	A metallic, resonant sound produced by a large bell, often used to signal the start of a service or event, classified under religious or cultural sounds.
Washing machine	The rhythmic, mechanical sound produced by a washing machine as it cycles through its various stages, categorized under household appliances or machines.
Bouncing	The repetitive, high-pitched sound produced by a ball or other object bouncing off a surface, often associated with play or sports, classified under physical activities or movement sounds.
Fire engine, fire truck (siren)	The loud, piercing sound produced by the siren of a fire engine or fire truck, often used to alert people to a fire or emergency.
Splash_and_splatter	The sound of water splashing and splattering, often produced by a water source being disturbed or disrupted.
furniture movement	The sound of furniture being moved or rearranged, often characterized by the scraping or dragging of surfaces against each other.
Hiss	A high-pitched, continuous sound produced by the rapid movement of air through a narrow opening, often associated with snakes or other slithering creatures.
other	A sound that does not fit into any of the previously defined categories, often characterized by its uniqueness and lack of clear acoustic properties.
Engine	The mechanical noise produced by the internal combustion or electric motor of a vehicle or machine, typically characterized by its rhythmic pattern and intensity, classified under transportation-related sounds.
Throat clearing	A short, high-pitched sound produced by clearing the throat, often used as a prelude to singing or speaking.
Emergency vehicle	The loud, siren-like sound produced by emergency vehicles, such as ambulances or police cars, often used to signal their presence and urgency.
Female singing	The melodious vocalizations produced by a female singer, often characterized by distinct pitch, rhythm, and timbre, belonging to the category of human vocalizations.
coffee machine	A mechanical device used for brewing coffee, producing a rhythmic, hissing sound during operation.
Meow	The soft, melodic vocalization produced by cats, often used for communication or expressing contentment.
Traditional music	A genre of music that draws from historical or cultural roots, characterized by distinct melodies, rhythms, and instruments.
Fill_(with_liquid)	The sound of liquid being poured or filled into a container, characterized by the splashing and sloshing of the liquid.
Angry music	A genre of music characterized by its loud, fast-paced, and aggressive sound, often associated with strong emotions like anger or frustration.
Coin_(dropping)	The sound of a coin falling or landing on a hard surface, characterized by its metallic clangor and short duration.
Typing	The rhythmic, repetitive sounds produced by the impact of fingers on a keyboard while typing, characterized by distinct patterns and pitches, classified as human activities or computer-related sounds.
water_drops	The continuous, splashing sound of water droplets falling from a height, often characterized by its intensity and white noise-like qualities, belonging to the category of natural environmental sounds.
Drill	The loud, vibrating sound produced by a drill while boring holes or fastening objects, characterized by its intensity and rhythmic patterns, classified as construction-related sounds.
walking	The rhythmic sounds made by the impact of feet on a surface while walking or running, varying in speed, intensity, and pattern, categorized as human activities or movement sounds.
Door	The sound of a door opening or closing, characterized by a distinct click or creak, often accompanied by other sounds such as footsteps or voices, classified as household sounds or objects.
brushing_teeth	The sound of bristles against teeth and gums while brushing, characterized by a distinct scraping or grinding noise, often accompanied by water or toothpaste, classified as household sounds or activities.
Babbling	The continuous, incoherent vocalizations produced by a person, often characterized by repetitive syllables and lack of structure, belonging to the category of human communication sounds.
Vocal music	The melodic and rhythmic sounds produced by the human voice, often accompanied by musical instruments, belonging to the category of music and sound art.
Chatter	The casual, informal conversation between two or more people, often characterized by overlapping speech and rapid, rhythmic exchanges of sound, categorized as human communication sounds.
Chirp_and_tweet	The melodious vocalizations produced by birds, often characterized by distinct patterns, pitches, and rhythms, belonging to the category of natural environmental sounds.
Chirp tone	The high-pitched, short-duration vocalizations produced by birds, often used for communication or attracting mates, belonging to the category of natural environmental sounds.
Caw	The loud, sharp, and repetitive vocalizations produced by crows, often used for warning or alerting others, belonging to the category of animal vocalizations.
water tap running	The continuous, rhythmic sound of water flowing from a faucet, characterized by its steady, pulsating quality, belonging to the category of household sounds.
Rattle (instrument)	The sharp, metallic sound produced by the vibration of an instrument, often characterized by its high-pitched, staccato quality, classified under percussion instruments.
Wind chime	The soft, melodic sound produced by the movement of metal or bamboo tubes in the wind, characterized by its gentle, tinkling quality, classified under outdoor or nature-related sounds.
Splash, splatter	The sound of water splashing or splattering, often characterized by short, sharp bursts of sound, belonging to the category of natural environmental sounds.
Crash cymbal	The loud, sharp sound produced by striking a cymbal, often used in music or percussion, categorized under musical instruments or sounds.
