class_name	dataset	base_description	context_aware_description	ontology_aware_description
coughing	ESC50	A dry, hacking sound produced by the respiratory system, often accompanied by the expulsion of mucus or phlegm.	A dry, hacking sound produced by the respiratory system, often accompanied by a clearing of the throat. Typically heard in indoor environments like homes, offices, or hospitals, especially during cold or flu season.	The dry, hacking sound produced by the throat and lungs during coughing, often accompanied by a high-pitched wheezing noise, classified under respiratory sounds.
cow	ESC50	The low, mooing sound produced by cows, often characterized by its rhythmic and resonant qualities.	A low, mooing sound produced by cows, often heard in rural areas or farms, typically associated with grazing or giving birth.	The low, mooing sound produced by cows, often characterized by its rhythmic and resonant qualities, classified under animal sounds.
crackling_fire	ESC50	The sound of a fire crackling, characterized by a sharp, crackling noise produced by burning wood.	The crisp, popping sound generated by burning wood or other combustible materials, typically heard in fireplaces, campfires, or outdoor cooking areas, often accompanied by a warm, comforting ambiance.	The sound produced by burning wood or other materials, characterized by its crackling, popping, and snapping noises, often associated with fireplaces or campfires, classified under natural environmental sounds.
crickets	ESC50	The continuous, chirping sound produced by crickets, often characterized by their high-pitched, rhythmic vocalizations.	The rhythmic chirping or singing produced by crickets, characterized by their distinct, high-pitched sounds, often heard in natural environments like forests, parks, or gardens, especially during nighttime.	The chirping or singing sounds produced by crickets, often characterized by their rhythmic patterns and distinct pitches, classified under natural environmental sounds.
crow	ESC50	A bird known for its distinctive cawing sound, often described as a loud, hoarse, and repetitive call.	The distinctive, cawing vocalizations of crows, often heard in natural environments like forests, parks, or urban areas, especially during early morning or dusk.	The distinctive, cawing vocalizations produced by crows, often characterized by their rhythmic, repetitive patterns, belonging to the category of animal vocalizations.
crying_baby	ESC50	A high-pitched, wailing sound often associated with a baby's distress.	The pitched, mournful cries of an infant, often heard in homes, hospitals, or daycare centers, associated with feelings of sadness, loss, or discomfort.	The sound of a baby crying, characterized by high-pitched, sobbing vocalizations, often associated with sadness or discomfort.
dog	ESC50	A domesticated mammal known for its barking sound, characterized by a high-pitched, rhythmic vocalization.	The vocalizations produced by dogs, characterized by a wide range of tones, pitches, and rhythms. Dogs may bark, growl, yip, howl, or whine, depending on their emotions, intentions, or interactions with their environment.	The barking, growling, or yipping vocalizations produced by a dog, often used for communication, protection, or play.
door_wood_creaks	ESC50	The low, creaky sound produced by wooden door frames as they open and close.	The audible sound produced when a wooden door is opened or closed, characterized by a sharp, crackling, or creaking noise. Often heard in residential or commercial settings, especially when the door is old or poorly maintained.	The creaking sound produced by wooden doors as they open and close, often characterized by a sharp, metallic tone, belonging to the category of man-made sounds.
door_wood_knock	ESC50	The sound of someone knocking on a wooden door, characterized by a sharp, percussive sound and a distinct rhythm.	The sharp, percussive sound created when a wooden door is knocked, often accompanied by a hollow echo.	The rhythmic, percussive sound produced by the impact of a person's hand on a wooden door, often accompanied by a metallic clangor, categorized as human activities or movement sounds.
drinking_sipping	ESC50	The sound of liquid being consumed through a straw or mouth, characterized by its rhythmic, slurping nature.	The sound of liquid being drawn from a container, typically characterized by a soft, continuous sucking noise, often heard in kitchens, cafes, or bars.	The sound of liquid being consumed through a straw or mouth, characterized by the rhythmic sucking and swallowing sounds, often associated with drinking coffee or tea.
engine	ESC50	The sound of an engine, characterized by its steady hum or roar, often accompanied by vibrations and mechanical noises.	A mechanical device used to power vehicles, characterized by its rhythmic, humming sound, often heard in urban or industrial settings.	A mechanical device that produces a continuous, rhythmic sound, often characterized by its pitch and intensity, belonging to the category of man-made sounds.
fireworks	ESC50	A loud, explosive sound produced by the ignition of gunpowder, characterized by its bright flashes and booming noises.	A series of bright, colorful explosions accompanied by loud, sharp noises, often seen and heard during celebrations or festivals.	The loud, explosive sounds produced by fireworks, often characterized by their brightness and sharpness, classified under pyrotechnic sounds.
footsteps	ESC50	The rhythmic sounds made by the impact of feet on a surface while walking or running, characterized by their speed, intensity, and pattern.	Rhythmic sounds created by the impact of feet on a surface during walking or running, characterized by variations in speed, intensity, and pattern. Encountered in diverse settings like streets, hallways, or forests, originating from individuals moving on foot.	The rhythmic sounds made by the impact of feet on a surface while walking or running, varying in speed, intensity, and pattern, categorized as human activities or movement sounds.
frog	ESC50	The croaking sound produced by frogs, characterized by its high-pitched, rhythmic, and pulsating nature.	A small, moist-skinned amphibian with a distinctive croaking sound, often found near bodies of water in forests, grasslands, or wetlands.	The croaking sound produced by frogs, often characterized by its rhythmic, pulsating pattern and distinct pitch.
glass_breaking	ESC50	The sharp, cracking sound produced when glass is shattered or broken.	The sharp, crackling sound produced when glass is shattered or broken, often accompanied by a tinkling or chiming effect. Typically heard in settings where glass objects are present, such as homes, restaurants, or construction sites.	The sharp, cracking sound produced by breaking glass, often accompanied by a tinkling or chiming sound, classified under man-made sounds.
hand_saw	ESC50	The high-pitched, metallic sound produced by the blade of a hand saw cutting through wood or other materials.	The rhythmic, metallic sound produced by a hand saw as it cuts through wood or other materials, characterized by a distinct sawing motion and varying intensity.	The sound produced by a hand saw as it cuts through wood, characterized by a rhythmic, sawing motion and a distinct, metallic tone.
helicopter	ESC50	A rotating aircraft with blades that produce a continuous, rhythmic sound as they rotate.	A rotorcraft with a rotating propeller, characterized by its distinctive whirring sound and rhythmic vibrations, often heard in urban or industrial areas, especially during takeoff and landing.	The continuous, whirring sound produced by the rotors of a helicopter, often characterized by its intensity and white noise-like qualities, classified under transportation-related sounds.
hen	ESC50	A bird known for its distinctive clucking sound, often used in farming and poultry production.	A bird known for its distinctive clucking sound, often heard in rural areas or backyards, especially during early morning or dusk.	The distinct, clucking vocalizations produced by hens, often characterized by their rhythm and pitch, belonging to the category of animal vocalizations.
insects	ESC50	The buzzing, chirping, and clicking sounds produced by insects, often characterized by their high-pitched frequencies and rapid rhythms.	Small, air-breathing animals with six legs and a body divided into three segments. Characterized by their distinctive buzzing or chirping sounds, often heard in natural environments like forests, gardens, or grasslands.	A diverse group of small, air-breathing animals characterized by their wings, antennae, and segmented bodies, producing a wide range of sounds, including buzzing, chirping, and clicking.
keyboard_typing	ESC50	The sound produced by the keys of a keyboard as they are pressed and released, characterized by a rapid, repetitive pattern of clicks and taps.	The rhythmic, repetitive clicking sound produced by keys on a computer keyboard, often heard in home offices, libraries, or study areas.	The rhythmic, repetitive sounds produced by typing on a keyboard, characterized by distinct key presses and strokes, classified as human activities or computer-related sounds.
laughing	ESC50	The light, high-pitched vocalizations produced with minimal breath and mouth movements, often characterized by short, repeated bursts of sound.	Light, high-pitched laughter marked by short, repeated bursts of sound, commonly linked with social gatherings. Often heard in intimate conversations or public spaces like cafes or bars.	The light, high-pitched laughter often characterized by short, repeated bursts of sound, falling under human vocalizations or emotional expressions.
mouse_click	ESC50	The sharp, high-pitched sound produced by a mouse clicking its teeth or claws, often accompanied by a short, crackling noise.	The sharp, high-pitched sound produced when a mouse clicks its teeth or scurries across a hard surface, typically heard in homes, offices, or rural areas.	A short, sharp sound produced by a computer mouse when a button is clicked, often characterized by a distinct click-clack rhythm, belonging to the category of electronic sounds.
pig	ESC50	The sound of a pig, characterized by its grunts, snorts, and squeals, often used to communicate with other pigs or to express fear or aggression.	The distinct, low-pitched vocalizations produced by pigs, characterized by grunts, snorts, and squeals, often heard in agricultural settings or rural environments.	The distinctive, low-pitched vocalizations produced by pigs, often characterized by their grunts and snorts, belonging to the category of animal vocalizations.
pouring_water	ESC50	The sound of liquid flowing from a container into another, characterized by its steady, splashing rhythm and the sound of the liquid hitting the surface.	The sound of liquid flowing from a container into another, characterized by a continuous, rhythmic splashing or gurgling, often heard in kitchens, bathrooms, or outdoor settings.	The sound of liquid pouring from a container, characterized by a continuous, rhythmic splashing noise.
rain	ESC50	The continuous, rhythmic sound of raindrops hitting a surface, characterized by its intensity and white noise-like qualities.	The continuous, soft patter of raindrops striking various surfaces, such as roofs, windows, or leaves, often heard during rainfall in urban or rural areas.	The continuous, soft patter of raindrops hitting various surfaces, often characterized by its intensity and white noise-like qualities, belonging to the category of natural environmental sounds.
rooster	ESC50	The loud, crowing sound produced by roosters, often characterized by its distinct, high-pitched call.	The loud, boisterous crowing of a rooster, typically heard in rural areas or farmyards, serving as a natural alarm clock or announcing the arrival of a new day.	The distinct, crowing sound produced by a rooster, often used as an alarm or to announce the start of a new day, classified under animal sounds.
sea_waves	ESC50	The rhythmic, crashing sounds produced by waves as they break against the shore	The rhythmic, crashing sound of waves as they break against the shore, characterized by their continuous ebb and flow, typically heard in coastal areas or near bodies of water.	The continuous, rhythmic sounds produced by the movement of water in the ocean, characterized by their pitch, intensity, and pattern, belonging to the category of natural environmental sounds.
sheep	ESC50	The soft, woolly sounds produced by sheep, often characterized by their bleating and low-pitched moans.	The distinct, melodic vocalizations produced by sheep, characterized by their soft, resonant tones and rhythmic patterns, often heard in pastoral or rural environments.	The distinct, low-pitched vocalizations produced by sheep, often characterized by their rhythmic, repetitive nature, belonging to the category of animal sounds.
siren	ESC50	The loud, oscillating wail produced by a siren, often used for warning or alert purposes.	A loud, oscillating wail produced by a siren, often used for warning or alert purposes, typically heard in urban or industrial settings.	A loud, oscillating wail produced by a siren, often used for warning or alerting purposes, such as in emergency situations or traffic control.
sneezing	ESC50	The sudden, sharp sound produced by the forceful expulsion of air from the nose, often accompanied by a slight whistling or popping noise.	A sudden, high-pitched sound produced by the forceful expulsion of air from the nose, often accompanied by a nasal spray. Typically heard in indoor environments like homes, offices, or public spaces.	The sudden, sharp sound produced by the forceful expulsion of air from the nose, classified under human respiratory sounds.
snoring	ESC50	A low, rumbling sound produced by the passage of air through the nose and mouth during sleep, characterized by irregular breathing and a rough, gravelly quality.	A rhythmic, low-pitched sound produced by the vibration of soft tissues in the throat during sleep, often heard in bedrooms or sleeping areas.	The sound produced by the passage of air through the nose and mouth during sleep, characterized by a low rumbling or snorting noise, often disrupting sleep.
thunderstorm	ESC50	A storm characterized by the presence of thunder and lightning, producing loud, rumbling noises and sudden, bright flashes of light.	The deep, rumbling sound generated by the rapid expansion of air surrounding a lightning bolt, often accompanied by crackling or booming noises. Typically occurs during thunderstorms, when lightning strikes and atmospheric conditions trigger sudden air expansion, resulting in the characteristic thunderous reverberation.	The loud, rumbling sound produced by lightning strikes, often accompanied by crackling or booming noises, classified under atmospheric phenomena.
toilet_flush	ESC50	The sound produced by the movement of water through a toilet bowl, characterized by a short, sharp, and rhythmic noise.	The sound of water swirling and draining from a toilet bowl, often accompanied by a hissing or gurgling noise, typically heard in bathrooms.	The sound produced by the flushing of a toilet, characterized by its short duration and distinctive rhythm, categorized as household sounds.
train	ESC50	The continuous, rhythmic sound produced by the wheels of a train moving along tracks, often accompanied by the clacking of the couplings.	A metallic, rhythmic sound produced by the wheels of a train moving on tracks, often accompanied by braking and whistle sounds. Typically heard in urban or suburban areas near train stations or tracks.	The continuous, rhythmic sound produced by the wheels of a train moving on tracks, often accompanied by braking or whistling sounds, classified under transportation-related sounds.
vacuum_cleaner	ESC50	A loud, rhythmic sound produced by a vacuum cleaner as it moves across a surface, characterized by its intensity and repetition.	The distinctive, rhythmic sound generated by a vacuum cleaner as it moves across a surface, often accompanied by a low hum or buzz, commonly heard in homes, offices, or other indoor spaces.	A low-pitched, rhythmic sound produced by a vacuum cleaner, characterized by its suction and movement, categorized as household appliance sounds.
washing_machine	ESC50	A machine used for washing clothes, characterized by a rhythmic, repetitive sound produced by the movement of water and fabric through a drum.	The rhythmic, humming sound generated by a washing machine during its operation, typically heard in laundry rooms or kitchens. The sound varies depending on the cycle and load size, often described as a low, steady hum or a rhythmic thumping.	The sound produced by a washing machine while it is in operation, characterized by a rhythmic, cyclical pattern of noise and vibration, often associated with household appliances and laundry-related tasks.
water_drops	ESC50	The sound of water droplets falling from a height, characterized by their rhythmic, splashing nature.	The sound of water falling or splashing on a surface, typically produced by rain, waterfalls, or fountains. Often heard in outdoor settings like parks, gardens, or beaches, where water is present.	The continuous, splashing sound of water droplets falling from a height, often characterized by its intensity and white noise-like qualities, belonging to the category of natural environmental sounds.
wind	ESC50	The invisible force that moves air and produces sound, often associated with musical instruments such as flutes and clarinets.	The soft, whistling sound generated by the movement of air through trees, grass, or other objects, typically heard outdoors.	The sound of wind blowing through leaves, grass, or other objects, characterized by its rustling, whistling, or whooshing qualities, belonging to the category of natural environmental sounds.
air_conditioner	US8K	A low-pitched, rhythmic sound produced by an air conditioning unit, often characterized by a steady humming or buzzing noise.	The low hum or buzz produced by an air conditioner when it is running, often heard in residential or commercial buildings during hot weather.	The continuous, rhythmic sound produced by an air conditioner, characterized by a low hum and occasional clicking or whirring noises, categorized under household appliances.
car_horn	US8K	A loud, high-pitched sound produced by a car horn, often used to signal danger or warning.	A loud, high-pitched sound emitted by a car's horn, used for warning or signaling, typically heard in urban environments or during traffic congestion.	A loud, high-pitched sound produced by a car horn, often used to signal danger or attract attention.
children_playing	US8K	The joyful and energetic sounds produced by children playing, including laughter, shouts, and the clanging of toys.	Lively, joyful vocalizations and sounds produced by children during play, characterized by high-pitched laughter, shouts, and clapping. Often heard in parks, playgrounds, or backyards, where children engage in various activities like tag, ball games, or hopscotch.	The joyful and energetic sounds produced by children playing, often characterized by laughter, shouts, and clapping, belonging to the category of human activities or social sounds.
dog_bark	US8K	A loud, high-pitched vocalization produced by dogs, characterized by its rhythmic, staccato pattern and distinctive pitch.	Loud, resonant vocalizations produced by dogs, characterized by unique patterns, pitches, and rhythms, often heard in domestic or wild environments, especially during alarms, greetings, or territorial defense.	The loud, sharp vocalizations produced by dogs, often characterized by their pitch, rhythm, and intensity, belonging to the category of animal vocalizations.
drilling	US8K	A loud, rhythmic sound produced by a drill bit striking a hard surface, characterized by its intensity and repetition.	A rhythmic, high-pitched sound produced by a drill bit striking a hard surface, typically heard in construction sites or workshops.	A rhythmic, high-pitched sound produced by a drill bit rotating against a hard surface, often associated with construction or DIY projects.
engine_idling	US8K	The sound produced by an engine when it is running at a low speed, characterized by a steady, low hum or buzz.	The steady, rhythmic sound produced by an engine when it is running at a low speed, typically heard in vehicles, generators, or other machinery.	The steady, low-pitched hum produced by an engine when it is running at a low speed, often associated with idling or warming up.
gun_shot	US8K	The sharp, explosive sound produced by the discharge of a gun, characterized by its high-pitched, short duration, and sudden onset.	A sharp, explosive sound produced by the discharge of a firearm, characterized by a short duration and high intensity, often heard in urban or rural environments where firearms are used.	The sharp, explosive sound produced by the discharge of a firearm, characterized by its high-pitched, short duration, and reverberation.
jackhammer	US8K	A loud, rhythmic, percussive sound produced by a jackhammer, characterized by its intensity and repetition.	A loud, rhythmic pounding sound produced by a jackhammer, typically heard in construction sites or other areas where heavy-duty demolition or excavation is taking place.	A loud, rhythmic, percussive sound produced by a jackhammer, often used for construction or demolition work.
siren	US8K	The loud, oscillating wail produced by a siren, often used for warning or alert purposes.	A loud, oscillating wail produced by a siren, often used for warning or alert purposes, typically heard in urban or industrial settings.	A loud, oscillating wail produced by a siren, often used for warning or alerting purposes, such as in emergency situations or traffic control.
street_music	US8K	A live musical performance played on instruments or vocals, often performed in public spaces such as streets or parks.	A lively, diverse mix of musical genres performed by street musicians, characterized by its energetic rhythms, rich harmonies, and spontaneous improvisations. Often heard in urban environments like city streets, parks, or festivals.	The diverse range of sounds produced by street musicians, including instruments, vocals, and percussion, often creating a lively and energetic atmosphere.
Speech	AudioSet	A human vocalization used for communication, characterized by rhythmic patterns of sound and syllables.	Human vocalizations characterized by rhythmic patterns of sound, often used for communication, expression, or entertainment. Typically heard in social settings, such as conversations, lectures, or performances.	The vocalizations produced by humans for communication, characterized by their distinct patterns, pitches, and rhythms.
Male speech, man speaking	AudioSet	The vocalizations produced by a male human, characterized by distinct pitch, rhythm, and intonation.	Distinctive vocalizations produced by adult males, characterized by variations in pitch, tone, and rhythm. Often heard in conversations, speeches, or announcements, where men communicate ideas, emotions, or information.	The vocalizations produced by a male human, characterized by distinct pitch, rhythm, and intonation, often used for communication or expression.
Female speech, woman speaking	AudioSet	The vocalizations produced by a woman, characterized by distinct pitch, tone, and inflection, often used in conversation or public speaking.	Distinctive vocalizations produced by women, characterized by variations in pitch, tone, and rhythm, often heard in social settings or conversations.	The vocalizations produced by a female speaker, characterized by their pitch, tone, and intonation, often conveying emotions, ideas, or information, classified under human communication sounds.
Child speech, kid speaking	AudioSet	The vocalizations produced by children, often characterized by their high-pitched, melodious, and expressive nature.	The unique vocalizations produced by children, characterized by their high-pitched voices, simple sentence structures, and emotional expressions. Often heard in family settings, schools, or playgrounds.	The high-pitched, melodious vocalizations produced by children, often characterized by their unique intonation and rhythm, belonging to the category of human vocalizations.
Conversation	AudioSet	The verbal exchange between two or more people, characterized by its natural flow, tone, and content.	A verbal exchange between two or more people, characterized by the sound of voices interacting, often with overlapping speech and background noise. Typically heard in social settings, cafes, or public spaces.	A natural human interaction characterized by spoken language and nonverbal cues, often involving multiple speakers and occurring in a social setting.
Narration, monologue	AudioSet	A spoken storytelling or speech, often with a distinct tone, pace, and rhythm.	A spoken storytelling or commentary, typically delivered in a clear, expressive voice, often heard in radio broadcasts, podcasts, or audiobooks.	A spoken storytelling or commentary, often delivered in a clear and expressive voice, belonging to the category of human speech sounds.
Babbling	AudioSet	A continuous, incoherent stream of words or sounds, often characterized by repetition, monotony, and lack of meaning.	A continuous, incoherent stream of words or phrases, often characterized by repetition and lack of structure, typically heard in social settings or during conversations.	The continuous, incoherent vocalizations produced by a person, often characterized by repetitive syllables and lack of structure, belonging to the category of human communication sounds.
Speech synthesizer	AudioSet	An electronic device that produces human-sounding speech from text input.	An electronic device that converts text into spoken words, characterized by its synthetic and robotic-sounding voice.	An electronic device or software program that converts text into spoken words, often used for voice recognition, text-to-speech conversion, or speech synthesis, classified under digital audio processing and communication technologies.
Shout	AudioSet	A loud, high-pitched vocalization produced by the vocal cords, often used to express strong emotions.	Loud, resonant vocalizations created with a strong, forceful voice, characterized by high pitch and intensity, often used for communication, warning, or expressing emotions, typically heard in public spaces like streets, sports arenas, or theaters.	The loud, high-pitched vocalizations produced by a person, often used for communication or expression, categorized under human vocalizations or emotional expressions.
Bellow	AudioSet	A loud, resonant sound produced by blowing air through a large instrument, such as a brass horn or a tuba.	A loud, resonant sound produced by blowing air through a large, conical tube, often used in brass instruments or as a vocalization.	A deep, resonant sound produced by blowing air through a large instrument, such as a tuba or bassoon, often used in brass band music.
Whoop	AudioSet	A loud, high-pitched vocalization often used to express excitement or joy	A loud, explosive vocalization, often used to express excitement, joy, or triumph. Typically heard in social gatherings, sports events, or celebrations.	A loud, high-pitched vocalization produced by humans, often used for celebration or excitement, classified under human vocalizations.
Yell	AudioSet	A loud, high-pitched vocalization produced with a strong burst of air from the lungs, often used to express strong emotions.	A loud, high-pitched vocalization produced by forcefully expelling air from the lungs. Often used for communication, warning, or expressing emotion.	A loud, high-pitched vocalization produced by the vocal cords, often used for expressing strong emotions or attracting attention.
Battle cry	AudioSet	A loud, intense vocalization used to signal the beginning of a battle or conflict.	A loud, intense vocalization used to signal the beginning of a battle or conflict, often characterized by a sharp, resonant tone and a distinct rhythm.	The loud, intense vocalizations produced by humans during battles or conflicts, often used to signal aggression or rally troops, classified under human vocalizations or military sounds.
Children shouting	AudioSet	The high-pitched, excited vocalizations produced by children, often characterized by rapid, repetitive bursts of sound.	The high-pitched, excited vocalizations produced by children, often heard in playgrounds, parks, or other open spaces during recreational activities.	The loud, high-pitched vocalizations produced by children, often characterized by their repetitive and joyful nature, categorized as human vocalizations or social sounds.
Screaming	AudioSet	A loud, high-pitched vocalization characterized by rapid, repeated bursts of sound.	A loud, intense vocalization marked by high-pitched shrieks and rapid, rhythmic bursts of sound, typically associated with sudden shock, fear, or anger.	A loud, high-pitched vocalization often characterized by rapid, repeated bursts of sound, often associated with strong emotions or distress.
Whispering	AudioSet	The soft, hushed vocalizations produced with minimal breath and mouth movements, often characterized by their low volume and subtlety.	Gentle, low-volume vocalizations created with minimal breath and mouth movements, commonly employed for confidential communication or secrecy, typically heard in intimate conversations or quiet environments.	A soft, hushed vocalization produced with minimal breath and mouth movements, often used for secretive communication or creating an intimate atmosphere, belonging to human communication sounds.
Laughter	AudioSet	The sound produced by the respiratory system when laughing, characterized by short bursts of high-pitched vocalizations.	A joyful, contagious sound characterized by bursts of high-pitched vocalizations, commonly associated with humor and social gatherings.	The light, high-pitched laughter often characterized by short, repeated bursts of sound, falling under human vocalizations or emotional expressions.
Baby laughter	AudioSet	The joyful, high-pitched laughter of a baby, characterized by short, repeated bursts of sound.	The joyful, high-pitched vocalizations produced by infants, characterized by short bursts of sound and variations in pitch and intensity. Often heard in intimate settings, such as homes or daycare centers, during playtime or interaction with caregivers.	The joyful, high-pitched laughter produced by babies, often characterized by short, repeated bursts of sound and varying intensity, classified under human vocalizations or emotional expressions.
Giggle	AudioSet	The light, high-pitched laughter often characterized by short, repeated bursts of sound.	Light, high-pitched laughter marked by short, repeated bursts of sound, commonly linked with social gatherings.	A light, high-pitched laughter often characterized by short, repeated bursts of sound, often used for secretive communication or creating an intimate atmosphere.
Snicker	AudioSet	A light, playful sound produced by the nose and mouth when laughing or teasing someone.	A light, high-pitched laugh characterized by short bursts of sound, often associated with amusement or playfulness. Typically heard in social gatherings or casual conversations.	A light, playful sound produced by the human vocal tract, often characterized by short bursts of sound and a high pitch, belonging to the category of human vocalizations or emotional expressions.
Belly laugh	AudioSet	A loud, joyful laugh characterized by deep, resonant tones and rapid, rhythmic bursts of sound.	A hearty, full-throated laugh originating from the abdominal muscles, characterized by its deep, resonant sound and prolonged duration. Often associated with joy, humor, or camaraderie, typically heard in social settings or during group activities.	The light, high-pitched laughter often characterized by short, repeated bursts of sound, typically associated with humor and joy.
Chuckle, chortle	AudioSet	A light, short burst of laughter characterized by its high-pitched, bubbling sound.	A light, short burst of laughter characterized by a series of quick, high-pitched sounds, often used in informal or playful situations.	The light, high-pitched laughter often characterized by short, repeated bursts of sound, falling under human vocalizations or emotional expressions.
Crying, sobbing	AudioSet	The sound of tears falling from the eyes, characterized by a mournful, high-pitched vocalization.	The sound of tears falling from the eyes, characterized by a mournful, high-pitched wail, often heard in intimate settings or during emotional moments. Context: A person sitting alone in a dimly lit room, holding a tissue or a photo, expressing grief or sadness.	The emotional vocalizations produced by humans, characterized by high-pitched, sobbing sounds, often accompanied by tears and expressing sadness or grief, belonging to the category of human vocalizations or emotional expressions.
Baby cry, infant cry	AudioSet	A high-pitched, emotional vocalization produced by a baby or infant, often characterized by short, bursting cries or whimpers.	A high-pitched, emotional vocalization produced by infants, characterized by rapid, irregular breathing and varying intensity, often heard in homes, hospitals, or daycare centers.	The high-pitched, emotional vocalizations produced by babies or infants, often characterized by their variability and intensity, classified under human vocalizations or emotional expressions.
Whimper	AudioSet	A low, mournful sound produced by a dog or other animal, often accompanied by a slight trembling or shaking of the body.	A low, mournful sound produced by a dog or other animal in distress, expressing pain, fear, or sadness, often heard in veterinary clinics or animal shelters.	A soft, mournful sound often produced by dogs or other animals in distress, characterized by its high-pitched, trembling quality.
Wail, moan	AudioSet	A loud, mournful sound often produced by a person or animal in distress or grief.	A mournful, prolonged sound often associated with grief, loss, or despair, typically heard in human vocalizations or animal cries.	A mournful, prolonged vocalization often associated with grief or sadness, classified under human vocalizations.
Sigh	AudioSet	A long, deep, and quiet exhalation of air through the nose, often accompanied by a slight shaking of the head or a downturned mouth.	A gentle, prolonged exhalation accompanied by a soft, low-pitched sound, typically expressing disappointment, sadness, or relief. Often heard in quiet environments or during conversations.	A deep, audible exhalation of air through the nose or mouth, often accompanied by a slight vibration of the vocal cords, expressing a sense of disappointment, frustration, or longing.
Singing	AudioSet	The melodic vocalizations produced by the human voice, characterized by their pitch, rhythm, and emotional expression, often accompanied by musical instruments.	The act of producing musical sounds by vibrating the vocal cords, characterized by a wide range of pitches and rhythms. Often heard in concerts, performances, or informal settings, and can be solo or in a group.	'The human vocalization characterized by rhythmic, melodic tones, often accompanied by lyrics, belonging to the category of human vocalizations or music sounds.'
Choir	AudioSet	A group of people singing together in harmony, often with distinct voices and melodies.	A harmonious blend of multiple voices singing together, often in a religious or cultural context.	The harmonious singing of a group of people, often characterized by distinct voices and melodies, belonging to the category of human vocalizations or musical performances.
